task_id,model_name,label_type,label_value,hyperparams,train_data_path,test_data_path,results_path,fold_id,status,priority,created_at,started_at,completed_at,error_message,worker_id
XGBoost_0_3840,XGBoost,subject_id,SubjectID,"{""n_estimators"": ""100"", ""max_depth"": ""3"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_3840,0,completed,1000,2025-11-01T01:18:57.350877,,2025-11-01T02:02:07.580467,,worker_e035bba3c28ec6f56f376a35b26d32a4d3a9923a7599e6d894445be9
XGBoost_0_5116,XGBoost,subject_id,SubjectID,"{""n_estimators"": ""100"", ""max_depth"": ""6"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_5116,0,completed,1000,2025-11-01T01:18:57.350911,,2025-11-01T02:30:31.337506,,worker_aae7f83dd14df54a8973b135a4d734f97ba8e1132ab4ba855984f07e
XGBoost_0_4824,XGBoost,subject_id,SubjectID,"{""n_estimators"": ""100"", ""max_depth"": ""9"", ""learning_rate"": ""0.2"", ""subsample"": ""0.7""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/XGBoost/within_subject_split/task_XGBoost_0_4824,0,completed,1000,2025-11-01T01:18:57.350940,,2025-11-01T02:32:24.354255,,worker_206554e061cf21c2c265d6881c1465f991ac71f602f53f62f2113c21
MLP_(Neural_Network)_0_6436,MLP (Neural Network),subject_id,SubjectID,"{""hidden_layer_sizes"": [100], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_6436,0,completed,1000,2025-11-01T01:18:57.350985,,2025-11-01T01:20:18.138350,,worker_f1223e5372df54057844a08a3c5bab39c60bb8b0d9086b1b327d530a
MLP_(Neural_Network)_0_4625,MLP (Neural Network),subject_id,SubjectID,"{""hidden_layer_sizes"": [150, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_4625,0,completed,1000,2025-11-01T01:18:57.351010,,2025-11-01T01:20:53.548843,,worker_ac899559592da1e813500ab436130da9a33feaa37cf3a40fe7769b1a
MLP_(Neural_Network)_0_6275,MLP (Neural Network),subject_id,SubjectID,"{""hidden_layer_sizes"": [200, 100, 50], ""activation"": ""tanh"", ""alpha"": ""0.1""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/MLP_(Neural_Network)/within_subject_split/task_MLP_(Neural_Network)_0_6275,0,completed,1000,2025-11-01T01:18:57.351034,,2025-11-01T02:19:32.219367,,worker_e035bba3c28ec6f56f376a35b26d32a4d3a9923a7599e6d894445be9
KNN_0_5982,KNN,subject_id,SubjectID,"{""n_neighbors"": 1, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_5982,0,completed,1000,2025-11-01T01:18:57.351071,,2025-11-01T02:30:34.071242,,worker_aae7f83dd14df54a8973b135a4d734f97ba8e1132ab4ba855984f07e
KNN_0_0746,KNN,subject_id,SubjectID,"{""n_neighbors"": 7, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_0746,0,completed,1000,2025-11-01T01:18:57.351093,,2025-11-01T02:32:25.921652,,worker_206554e061cf21c2c265d6881c1465f991ac71f602f53f62f2113c21
KNN_0_7561,KNN,subject_id,SubjectID,"{""n_neighbors"": 15, ""weights"": ""uniform"", ""metric"": ""euclidean""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/KNN/within_subject_split/task_KNN_0_7561,0,completed,1000,2025-11-01T01:18:57.351113,,2025-11-01T01:20:24.364718,,worker_f1223e5372df54057844a08a3c5bab39c60bb8b0d9086b1b327d530a
SVM_0_6932,SVM,subject_id,SubjectID,"{""C"": ""0.1"", ""kernel"": ""linear"", ""gamma"": ""auto""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/SVM/within_subject_split/task_SVM_0_6932,0,completed,1000,2025-11-01T01:18:57.351146,,2025-11-01T01:22:06.444461,,worker_ac899559592da1e813500ab436130da9a33feaa37cf3a40fe7769b1a
SVM_0_0345,SVM,subject_id,SubjectID,"{""C"": ""0.1"", ""kernel"": ""rbf"", ""gamma"": ""auto""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/SVM/within_subject_split/task_SVM_0_0345,0,completed,1000,2025-11-01T01:18:57.351166,,2025-11-01T02:22:55.503950,,worker_e035bba3c28ec6f56f376a35b26d32a4d3a9923a7599e6d894445be9
SVM_0_6910,SVM,subject_id,SubjectID,"{""C"": ""0.1"", ""kernel"": ""poly"", ""gamma"": ""auto""}",/app/data/PCA_W_F/transformed/within_subject_split/train_data,/app/data/PCA_W_F/transformed/within_subject_split/test_data,/app/data/PCA_W_F/ml_results_grid_search/SVM/within_subject_split/task_SVM_0_6910,0,completed,1000,2025-11-01T01:18:57.351186,,2025-11-01T02:32:23.399330,,worker_aae7f83dd14df54a8973b135a4d734f97ba8e1132ab4ba855984f07e
