Subject,Median_Accuracy_Current_Method,N_Folds,N_Model_Observations,Calculation_Method,Note
sub-1,0.6365,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-2,0.6520,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-3,0.6972,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-4,0.7288,5,19,Median of 19 accuracies (across 5 folds × multiple models),Mixed: 19 accuracies from 5 fold(s) and multiple models
sub-5,0.6557,7,27,Median of 27 accuracies (across 7 folds × multiple models),Mixed: 27 accuracies from 7 fold(s) and multiple models
sub-6,0.6361,7,26,Median of 26 accuracies (across 7 folds × multiple models),Mixed: 26 accuracies from 7 fold(s) and multiple models
sub-7,0.6556,4,15,Median of 15 accuracies (across 4 folds × multiple models),Mixed: 15 accuracies from 4 fold(s) and multiple models
sub-8,0.6914,7,27,Median of 27 accuracies (across 7 folds × multiple models),Mixed: 27 accuracies from 7 fold(s) and multiple models
sub-9,0.5783,2,7,Median of 7 accuracies (across 2 folds × multiple models),Mixed: 7 accuracies from 2 fold(s) and multiple models
sub-10,0.5864,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-11,0.7243,6,24,Median of 24 accuracies (across 6 folds × multiple models),Mixed: 24 accuracies from 6 fold(s) and multiple models
sub-12,0.7558,2,7,Median of 7 accuracies (across 2 folds × multiple models),Mixed: 7 accuracies from 2 fold(s) and multiple models
sub-13,0.6697,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-14,0.7055,5,19,Median of 19 accuracies (across 5 folds × multiple models),Mixed: 19 accuracies from 5 fold(s) and multiple models
sub-15,0.7058,7,27,Median of 27 accuracies (across 7 folds × multiple models),Mixed: 27 accuracies from 7 fold(s) and multiple models
sub-16,0.6532,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-17,0.7014,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-18,0.7058,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-19,0.6938,3,11,Median of 11 accuracies (across 3 folds × multiple models),Mixed: 11 accuracies from 3 fold(s) and multiple models
sub-20,0.6993,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-21,0.6944,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-22,0.7015,2,6,Median of 6 accuracies (across 2 folds × multiple models),Mixed: 6 accuracies from 2 fold(s) and multiple models
sub-23,0.7117,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-24,0.7276,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-25,0.5715,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-26,0.7584,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-27,0.7154,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-28,0.6456,7,27,Median of 27 accuracies (across 7 folds × multiple models),Mixed: 27 accuracies from 7 fold(s) and multiple models
sub-29,0.7259,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-30,0.6557,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-31,0.6248,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-32,0.6811,6,24,Median of 24 accuracies (across 6 folds × multiple models),Mixed: 24 accuracies from 6 fold(s) and multiple models
sub-33,0.6953,3,11,Median of 11 accuracies (across 3 folds × multiple models),Mixed: 11 accuracies from 3 fold(s) and multiple models
sub-34,0.7594,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-35,0.6597,7,28,Median of 28 accuracies (across 7 folds × multiple models),Mixed: 28 accuracies from 7 fold(s) and multiple models
sub-36,0.6359,8,32,Median of 32 accuracies (across 8 folds × multiple models),Mixed: 32 accuracies from 8 fold(s) and multiple models
sub-37,0.7437,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-38,0.6397,6,24,Median of 24 accuracies (across 6 folds × multiple models),Mixed: 24 accuracies from 6 fold(s) and multiple models
sub-39,0.7184,4,15,Median of 15 accuracies (across 4 folds × multiple models),Mixed: 15 accuracies from 4 fold(s) and multiple models
sub-40,0.7414,5,18,Median of 18 accuracies (across 5 folds × multiple models),Mixed: 18 accuracies from 5 fold(s) and multiple models
sub-41,0.6841,8,31,Median of 31 accuracies (across 8 folds × multiple models),Mixed: 31 accuracies from 8 fold(s) and multiple models
sub-42,0.6938,4,15,Median of 15 accuracies (across 4 folds × multiple models),Mixed: 15 accuracies from 4 fold(s) and multiple models
sub-43,0.6496,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-44,0.6735,11,42,Median of 42 accuracies (across 11 folds × multiple models),Mixed: 42 accuracies from 11 fold(s) and multiple models
sub-45,0.6530,8,30,Median of 30 accuracies (across 8 folds × multiple models),Mixed: 30 accuracies from 8 fold(s) and multiple models
sub-46,0.5287,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-47,0.7308,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-48,0.6969,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-49,0.7619,6,22,Median of 22 accuracies (across 6 folds × multiple models),Mixed: 22 accuracies from 6 fold(s) and multiple models
sub-50,0.6414,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-51,0.6555,6,23,Median of 23 accuracies (across 6 folds × multiple models),Mixed: 23 accuracies from 6 fold(s) and multiple models
sub-52,0.7178,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-53,0.6884,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-54,0.6416,6,24,Median of 24 accuracies (across 6 folds × multiple models),Mixed: 24 accuracies from 6 fold(s) and multiple models
sub-55,0.6775,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-56,0.6613,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-57,0.6951,7,27,Median of 27 accuracies (across 7 folds × multiple models),Mixed: 27 accuracies from 7 fold(s) and multiple models
sub-58,0.7001,5,19,Median of 19 accuracies (across 5 folds × multiple models),Mixed: 19 accuracies from 5 fold(s) and multiple models
sub-59,0.6192,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-60,0.6924,10,40,Median of 40 accuracies (across 10 folds × multiple models),Mixed: 40 accuracies from 10 fold(s) and multiple models
sub-61,0.6253,6,24,Median of 24 accuracies (across 6 folds × multiple models),Mixed: 24 accuracies from 6 fold(s) and multiple models
sub-62,0.7833,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-63,0.5705,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-64,0.7439,6,23,Median of 23 accuracies (across 6 folds × multiple models),Mixed: 23 accuracies from 6 fold(s) and multiple models
sub-65,0.7192,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
